Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Not Relevant	Date	Domain Source
2.A.1.a	Reading Comprehension	IM	4.12	8	0.13	3.86	4.38	N	N	07/2022	Analyst
2.A.1.a	Reading Comprehension	LV	4.75	8	0.16	4.43	5.07	N	N	07/2022	Analyst
2.A.1.b	Active Listening	IM	4.12	8	0.13	3.86	4.38	N	N	07/2022	Analyst
2.A.1.b	Active Listening	LV	4.88	8	0.23	4.42	5.33	N	N	07/2022	Analyst
2.A.1.c	Writing	IM	4.00	8	0.00	4.00	4.00	N	N	07/2022	Analyst
2.A.1.c	Writing	LV	4.62	8	0.18	4.26	4.99	N	N	07/2022	Analyst
2.A.1.d	Speaking	IM	4.00	8	0.00	4.00	4.00	N	N	07/2022	Analyst
2.A.1.d	Speaking	LV	4.75	8	0.16	4.43	5.07	N	N	07/2022	Analyst
2.A.1.e	Mathematics	IM	3.88	8	0.13	3.62	4.13	N	N	07/2022	Analyst
2.A.1.e	Mathematics	LV	4.12	8	0.23	3.67	4.58	N	N	07/2022	Analyst
2.A.1.f	Science	IM	2.25	8	0.25	1.75	2.75	N	y	07/2022	Analyst
2.A.1.f	Science	LV	1.88	8	0.30	1.28	2.47	N	y	07/2022	Analyst
2.A.2.a	Critical Thinking	IM	4.25	8	0.16	3.93	4.57	N	N	07/2022	Analyst
2.A.2.a	Critical Thinking	LV	5.00	8	0.19	4.62	5.38	N	N	07/2022	Analyst
2.A.2.b	Active Learning	IM	4.00	8	0.00	4.00	4.00	N	N	07/2022	Analyst
2.A.2.b	Active Learning	LV	4.88	8	0.13	4.62	5.13	N	N	07/2022	Analyst
2.A.2.c	Learning Strategies	IM	3.88	8	0.13	3.62	4.13	N	N	07/2022	Analyst
2.A.2.c	Learning Strategies	LV	4.50	8	0.27	3.97	5.03	N	N	07/2022	Analyst
2.A.2.d	Monitoring	IM	4.12	8	0.13	3.86	4.38	N	N	07/2022	Analyst
2.A.2.d	Monitoring	LV	4.88	8	0.13	4.62	5.13	N	N	07/2022	Analyst
2.B.1.a	Social Perceptiveness	IM	3.88	8	0.13	3.62	4.13	N	N	07/2022	Analyst
2.B.1.a	Social Perceptiveness	LV	4.25	8	0.25	3.75	4.75	N	N	07/2022	Analyst
2.B.1.b	Coordination	IM	3.88	8	0.13	3.62	4.13	N	N	07/2022	Analyst
2.B.1.b	Coordination	LV	4.25	8	0.16	3.93	4.57	N	N	07/2022	Analyst
2.B.1.c	Persuasion	IM	3.75	8	0.16	3.43	4.07	N	N	07/2022	Analyst
2.B.1.c	Persuasion	LV	4.12	8	0.13	3.86	4.38	N	N	07/2022	Analyst
2.B.1.d	Negotiation	IM	3.75	8	0.16	3.43	4.07	N	N	07/2022	Analyst
2.B.1.d	Negotiation	LV	3.88	8	0.13	3.62	4.13	N	N	07/2022	Analyst
2.B.1.e	Instructing	IM	3.38	8	0.26	2.85	3.90	N	N	07/2022	Analyst
2.B.1.e	Instructing	LV	3.62	8	0.26	3.10	4.15	N	N	07/2022	Analyst
2.B.1.f	Service Orientation	IM	3.75	8	0.25	3.25	4.25	N	N	07/2022	Analyst
2.B.1.f	Service Orientation	LV	3.88	8	0.30	3.28	4.47	N	N	07/2022	Analyst
2.B.2.i	Complex Problem Solving	IM	4.25	8	0.16	3.93	4.57	N	N	07/2022	Analyst
2.B.2.i	Complex Problem Solving	LV	5.12	8	0.13	4.86	5.38	N	N	07/2022	Analyst
2.B.3.a	Operations Analysis	IM	3.12	8	0.30	2.53	3.72	N	N	07/2022	Analyst
2.B.3.a	Operations Analysis	LV	3.50	8	0.42	2.65	4.35	N	N	07/2022	Analyst
2.B.3.b	Technology Design	IM	3.00	8	0.33	2.34	3.66	N	y	07/2022	Analyst
